Party,Handle,Tweet,Sentiment
Democrat,RepMcEachin,The future of the internet is at stake in the fight against the @FCC‰Ûªs repeal of #NetNeutrality.,-0.3818
Republican,NatResources,.@RepWebster: This bill recognizes the sacrifices American fishermen have made to rebuild and sustain our #shark po‰Û_ https://t.co/A2oOxZ4isD,0
Republican,RepSmucker,"RT @GoMounts: Impressive coding skills, Mountaineers!  Thrilled to have @GoogleCSFirst Roadshow at @EIMSMounts with special guest @RepSmuck‰Û_",0.8478
Republican,FinancialCmte,".@RepHensarling: Today, the underlying #economy is strong and getting stronger due to the policies of the @POTUS Tr‰Û_ https://t.co/SlIODh9NjJ",0.7096
Democrat,RepCarbajal,"RT @SLOTribune: A new bill from @RepCarbajal would make SLO County an ""energy opportunity zone""https://t.co/lQWpjyHdkA",0.5994
Republican,RepMcClintock,"#PROMESA could have respected #constitutionally guaranteed debt, reliability of which must be maintained https://t.co/RDwEggP1vH #PuertoRico",0.1531
Democrat,RepStephMurphy,.@RepBrianFitz &amp; I introduced the Combat Online Predators Act to crack down on adults who stalk minors on the inter‰Û_ https://t.co/r6CYByJiNL,-0.34
Republican,RepTomGraves,#TaxReformWorks https://t.co/0aj8ITeAyS,0
Democrat,RepOHalleran,My staff is hosting a mobile office in Tuba City today. Stop by to talk to a caseworker about federal programs and‰Û_ https://t.co/vIj4Ae3IMd,-0.296
Republican,RepKayGranger,I voiced support for restricting funding for Cuba in SFOPS appropriations bill on Wednesday. Watch the video: https://t.co/rjx950KGro,0.0258
Republican,NatResources,".@RepJenniffer has been a tireless advocate for the people of #PuertoRico, we are proud to stand alongside her &amp; al‰Û_ https://t.co/pLIdbzlDXT",0.4767
Democrat,RepPeteAguilar,My response to @realDonaldTrump's first #StateOfTheUnion: https://t.co/IgE0PKNoVE,0
Democrat,RepCharlieCrist,Leaders on both sides of the aisle must show the political courage necessary to improve our nation‰Ûªs gun laws to ke‰Û_ https://t.co/t6CzQLrNuW,0.5719
Democrat,CongressmanRaja,RT @NAPABA: Stopping by the @NAPABA 2018 #APAHM Congressional Reception in the 7 o'clock hour is @RepBera and @CongressmanRaja! https://t.c‰Û_,-0.2244
Republican,NatResources,Three rural counties in Utah are fighting to keep reduced monument boundaries #BearsEars,-0.3612
Republican,RepBillJohnson,Great to meet with representatives from the Ohio State Building &amp; Constructions Trades Council this week. Track rec‰Û_ https://t.co/sNpxkTQswb,0.6249
Democrat,RepDarrenSoto,This #TaxDay big corporations &amp; the top 5% are getting huge tax breaks! While #GOPTaxScam cuts crucial benefits for‰Û_ https://t.co/Qh8xoKzWdz,0.5848
Democrat,RepCarbajal,RT @countyofsb: Don't leave your pets behind! There are many options for housing &amp; care at no cost. Please call Santa Barbara County Animal‰Û_,0.5775
Democrat,RepMcEachin,The plan demonstrates that the administration does not prioritize the health and safety of our communities ‰ÛÒ partic‰Û_ https://t.co/DR0oXpBt3x,0.4215
Democrat,RepMcEachin,"Tonight, we lost former First Lady Barbara Bush. Mrs. Bush was a passionate woman who loved our country as much as‰Û_ https://t.co/74Ma1vrkOS",0.7184
Republican,RepKayGranger,I would like to commend President Trump for moving our embassy to Jerusalem. Every nation should have the right to‰Û_ https://t.co/d6vvrnfYYp,0.6597
Republican,MarioDB,Hable con @ErikaCarrilloTV @Univision23 sobre los fondos federales que recibirÌÁ @MiamiDadeCounty para comprar nuevo‰Û_ https://t.co/e4K5GH4Ym7,0
Republican,RepSteveStivers,Happy birthday to the @NationalGuard. 381 years of being ready and there. https://t.co/J6WdZSTaE3,0.7351
Democrat,RepPeteAguilar,RT @SBCOUNTYFIRE: THANK YOU San Bernardino residents for adhering so quickly to the evacuation order and road closures during the #LittleMo‰Û_,0.4995
Republican,MarioDB,"As I said after my vote opposing it in 2015, the Iran deal paved the way for a dangerous state sponsor of terrorism‰Û_ https://t.co/xurh3Z1858",-0.4767
Republican,RepKayGranger,Schools like the Young Women‰Ûªs Leadership Academy in Fort Worth provide young women with a rigorous curriculum to p‰Û_ https://t.co/vqjRSaiUuy,0.3182
Democrat,RepLouCorrea,RT @SteeleAndUngar: You can listen to our full conversation with @RepLouCorrea here: https://t.co/PXy2gxW0Xx https://t.co/JqO5AL1IAh,0
Democrat,RepCarbajal,Proud to stand with the @ProsecutorsAGV today to discuss the urgent need for gun reform. We need to protect our chi‰Û_ https://t.co/9rh9Lx4gWw,0.6249
Democrat,RepValDemings,"Mark your calendars for Saturday, May 19 at TIME! @Oceana and our partners will join #HandsAcrossTheSand against di‰Û_ https://t.co/LU75zNgDFo",0.3595
Democrat,RepJoshG,Thank you @SGottliebFDA for joining us for at @HackensackUMC for a roundtable with New Jersey healthcare leaders to‰Û_ https://t.co/1FwGFc0Oj1,0.3612
Republican,RepBillJohnson,Will be on @FoxFriendsFirst at around 5:15 AM tomorrow. Talking about the strikes in Syria.,-0.3612
Republican,RepTomGraves,Wishing you and your families a healthy and happy 2018! https://t.co/vSNVtYrnBo,0.8221
Democrat,RepJackyRosen,Nevada‰Ûªs Dreamers have waited far too long for a legislative solution to the uncertainty that impacts their daily l‰Û_ https://t.co/SJY07Nzk5p,-0.0258
Democrat,RepTomSuozzi,Good morning! Join me at 7:40am when Rep. Peter King and I talk about our bipartisan opposition to the GOP tax plan‰Û_ https://t.co/drf7dlbTJo,0.6588
Democrat,RepOHalleran,RT @CoconinoNF: #Wildfire Update_ÙÓ´#TinderFire; 500 acre in East Clear Creek near FR 95_ÙÓ´Smoke going northeast towards Blue Ridge &amp; SR 87 _ÙÓ´Pre‰Û_,0.3818
Republican,RulesReps,At 12:30 @TomColeOK04 will be managing the first rule on the Make America Secure Appropriations Act. Watch the @HouseFloor LIVE on @cspan.,0.34
Democrat,RepDarrenSoto,"Hurricane Maria left approx $90 billion in damages, yet only $1 billion was allocated for rebuilding grid. No surpr‰Û_ https://t.co/2kU8BcKwUh",-0.6249
Republican,RulesReps,Happening Now: Chairman @PeteSessions is managing the rule for Disaster Tax Relief and Airport &amp; Airway Extension Act. Watch LIVE on @cspan,-0.25
Democrat,RepRoKhanna,How does pushing people into homeless help them keep or find work? And how is that every program that helps poor pe‰Û_ https://t.co/FOx6vdA0jx,0.296
Republican,repdonyoung,Students from Wasilla's #TwindlyBridgeCharterSchool came by Capitol Hill today to share their ideas about what they‰Û_ https://t.co/MUXydahd3G,0.296
Republican,CongMikeSimpson,"Congratulations to Secretary of Energy, Rick Perry on his confirmation. https://t.co/YVPRhk4jTQ",0.7184
Democrat,RepAlLawsonJr,Congratulations to the Florida State Seminoles on a great victory over Xavier 75-70 to advance to the Sweet 16 for‰Û_ https://t.co/GGBjXjYgTX,0.9001
Democrat,RepPeteAguilar,Heartbreaking for this family. Congress must show compassion and pass the #DreamAct to prevent these situations. https://t.co/nu0zGg39J7,0.0258
Democrat,RepCharlieCrist,"New Lealman Community Campus great example of ""Penny for Pinellas"" program and local CRA paying off for the people.‰Û_ https://t.co/Xg0T1TnoMQ",0.6249
Democrat,RepKihuen,"Proud #TeamKihuen could attend the  @UnlvVets Rebel Veteran Engage Breakfast where student veterans, alumni and com‰Û_ https://t.co/Um91rbiS3U",0.5994
Democrat,RepJayapal,"RT @ILRF: .@RepJayapal is the first Indian-American congresswoman, as well as one of few congresspeople born outside the United States. We‰Û_",0.5994
Democrat,RepStephMurphy,"5) Since last year, I've fought to ensure the @DeptofDefense's @USNationalGuard counter-drug program has the resour‰Û_ https://t.co/gKfVm80vNz",0.0772
Democrat,RepJimmyPanetta,"From pay equity, to affordable child care, to access to &amp; affordability for higher education, when every woman can‰Û_ https://t.co/pnCr4FwxNm",0.4215
Democrat,RepRoKhanna,"RT @DemsEspanol: Los maestros nos han enseÌ±ado a leer, a escribir y enseÌ±ado lecciones de vida que no estÌÁn en los libros. åÁFeliz dÌ_a del m‰Û_",-0.296
Democrat,RepJayapal,RT @LaurenMcgowan: _ÙªÎ_ÙªÎ_ÙªÎ_ÙªÎ ‰ÛÏWe might not need the head tax if our corporate leaders would put money and effort into a real campaign that helps‰Û_,0
Democrat,RepDarrenSoto,"RT @garywhite13: @SenBillNelson, @RepDarrenSoto discuss restoration of voting rights for felons, census questions during town hall in Haine‰Û_",0
Republican,RepMikeTurner,"I strongly support the Iranians' peaceful calls for democracy, freedom, and human rights. #READ my full statement: https://t.co/oljJBFk1EH",0.9042
Republican,FinancialCmte,SEC Division of Corporation Finance Director Testifies Before Subcommittee https://t.co/NJ0GjwAck5 #SEC,0
Republican,repdonyoung,Ermalee Hickel was a true gift to the state she helped build; she was an AKn through and through &amp; I‰Ûªm honored to have called her a friend.,0.9136
Democrat,RepValDemings,"Six months ago, I asked former for-profit college official Robert Eitel if he had helped tear up rules to protect s‰Û_ https://t.co/tkuzYbFtNx",0.3818
Democrat,RepRaskin,President‰Ûªs foolish decision to walk away from #IranDeal makes it easier for Iran to get a bomb &amp; undermines Americ‰Û_ https://t.co/wts9E4cZ1L,-0.5994
Democrat,RepCharlieCrist,@StudioJones1 #NetNeutrality = free &amp; open internet. Fighting to #SaveTheInternet for consumers &amp; #smallbiz! https://t.co/DhZVcNCtUh,0.2714
Democrat,RepTedLieu,Wishing everyone a very happy #StPatricksDay! https://t.co/hAJj2ytvTs,0.7339
Democrat,RepStephMurphy,Thank you to the Seminole County PTA for meeting with me today in #Orlando to discuss how we can work together to i‰Û_ https://t.co/UlLigQDRQV,0.3612
Republican,RepTomGraves,".@RepSinema &amp; I introduced a bipartisan bill, the Active Cyber Defense Certainty Act (#ACDC), to give Americans mor‰Û_ https://t.co/CyzPPnMXCE",0.6369
Democrat,RepJimmyPanetta,"Joined over 100 colleagues on both sides of the aisle, in the House and Senate, in calling for @DHSgov to give Cong‰Û_ https://t.co/kIoF92il0U",0
Republican,RepMikeTurner,"Great to meet with #OH Youth Advisory Board today to discuss the Fostering Stable Housing Opportunities Act, a bill‰Û_ https://t.co/60fpsGddNO",0.836
Democrat,RepKihuen,Today I met with @ACDCNV &amp; @AAAJ_AAJC to discuss leaving the citizenship question off of the #2020Census the‰Û_ https://t.co/TUAtGdaN8W,0
Democrat,RepOHalleran,"As a former police officer, I saw how impactful community policing was on both the areas we patrolled &amp; the officer‰Û_ https://t.co/FlY1hDEuOl",0
Democrat,RepTedLieu,Reports indicate @EPAScottPruitt received a condo lease for below market rate from lobbyists w/ interests the @EPA‰Û_ https://t.co/36zI4PkMj8,0.25
Democrat,RepTomSuozzi,"When I was mayor about 24 yrs ago, I installed the new Chief of the Glen Cove Fire Department. Last night I attende‰Û_ https://t.co/GZQWLMbHbh",-0.34
Republican,CongMikeSimpson,Congratulations to Minidoka Memorial Hospital for going the extra mile.,0.5994
Republican,RepGoodlatte,"Joined a bipartisan, bicameral group of 15 Members of Congress to file an amicus brief in the pending SCOTUS ruling‰Û_ https://t.co/VXGDxmi822",0
Democrat,RepValDemings,"Without the actions of James Shaw Jr., this deadly shooting could have been far worse. He may not think that he's a‰Û_ https://t.co/Hr7wvpSWcS",-0.4767
Republican,RepSteveStivers,"Today, we remember a day that lives in infamy, and all those who defended our nation and our freedom.‰Û_ https://t.co/pTYtwhEDNW",0
Republican,RepMikeTurner,"Last night, I caught up with @COXMG‰Ûªs @jamiedupree to talk about @POTUS‰Ûªs great #SotU that laid out his accomplishm‰Û_ https://t.co/J1IQvx6qZP",0.6249
Democrat,RepOHalleran,I sent a letter to the Director of @BureauIndianEdu about the condition of &amp; education quality at the Havasupai Ele‰Û_ https://t.co/iLder3BxZY,0
Democrat,DonaldNorcross,"It‰Ûªs clear @GovMurphy is putting NJ working families first. In his first budget address, he recommitted support on‰Û_ https://t.co/7rvwORwC9e",0.6486
Republican,RepMikeTurner,"This week I talked with @WDTN about the opioid epidemic, North Korea, China, and funding for @WrightPattAFB.‰Û_ https://t.co/tkIpU2jmnY",0
Republican,RepDianeBlack,RT @WaysandMeansGOP: At 10AM W&amp;M will host its second hearing in a series entitled ‰ÛÏJobs and Opportunity: Federal Perspectives on the Jobs‰Û_,0.5994
Democrat,RepRoKhanna,I applaud Pakistan for passing a landmark bill to protect their transgender citizens' fundamental rights. This vict‰Û_ https://t.co/CaSy4TFYt2,0.7096
Democrat,RepJackyRosen,"Renewal for DACA is still available. If your status expired on or after September 5, 2016, applications for renewal‰Û_ https://t.co/5yzpDscFQU",0
Democrat,RepStephMurphy,Secretary of Defense Mattis testified before the House Armed Services Committee this week. Secretary Mattis &amp; I dis‰Û_ https://t.co/EGxPj41ky2,0.128
Republican,RepMimiWalters,"Boeing is investing $54 million into communities, including reforestation efforts follow last year‰Ûªs tragic wildfir‰Û_ https://t.co/QYyrrrfVRt",-0.4588
Democrat,RepBRochester,I am deeply concerned by the FCC's move to end important Obama-era protections for net neutrality. It's time for Co‰Û_ https://t.co/2wTYefn2YG,0.2023
Republican,RepKayGranger,The House is acting on important legislation that funds @DeptofDefense @DeptVetAffairs and @Energy programs that pr‰Û_ https://t.co/am2KBLbNeU,0.2023
Democrat,RepCharlieCrist,Productive meeting with members of our Veterans Advisory Board focused on breaking down obstacles to care and emplo‰Û_ https://t.co/EugEEO3lbr,0.4939
Democrat,RepStephMurphy,"Honored to meet with Derrick, Dawnasia, and Kevin from @UnderdogDreams in #Orlando. They are raising awareness abou‰Û_ https://t.co/UOv3Fjvz9M",0.5859
Democrat,DonaldNorcross,"Wow! Look at those @Eagles crowds! I'm cheering from here in DC, where I am awaiting important budget votes.‰Û_ https://t.co/zL1rOrgHq9",0.8585
Republican,RulesReps,@RepDougCollins will be managing the rule on H.R. 3697 - the Criminal Alien Gang Member Removal Act. Watch the @HouseFloor LIVE on @cspan.,-0.5267
Republican,RepDianeBlack,RT @housebudgetGOP: Input from members of Congress plays an important role in the #BudgetProcess. Learn more about the Committee's upcoming‰Û_,0.4215
Democrat,RepCarbajal,It was great meeting with the students from Santa Maria High School visiting DC today! These impressive students ar‰Û_ https://t.co/s6GcarRdBn,0.8268
Republican,RepSmucker,RT @MissPrice220: Thank you @RepSmucker for taking the time to visit us today! What a great experience working with @GoogleForEdu https://t‰Û_,0.784
Democrat,RepRoKhanna,1 in 4 nurses has been assaulted at work. That is unacceptable. I introduced the Health Care Workplace Violence Pre‰Û_ https://t.co/LOcHMXb6kq,-0.8074
Democrat,CongressmanRaja,RT @MyForefront: Our Democracy Initiative Director was in DC today for announcement of Help Students Vote Act which aims to ensure institut‰Û_,0.6486
Democrat,RepPeteAguilar,"After the tragedies we‰Ûªve seen across the nation and in our own community, it‰Ûªs time to stand up and say enough is‰Û_ https://t.co/7vBMQdjF1T",-0.4404
Republican,RepBillJohnson,.@bucknut_83 #AskBillJohnson https://t.co/pkJc5UZyg8,0
Republican,RepMcClintock,#WRDA - A Critical Moment for #Tahoe and the West. #Water for #California; Fire Protection for #Tahoe    https://t.co/4VDH3Ubkee,-0.5719
Democrat,RepJayapal,RT @usatodayDC: Democrats propose a moratorium on new immigration prisons https://t.co/UooXaMdv9A @alangomez,0
Democrat,RepOHalleran,RT @Kaijasays: @RepOHalleran Thank you once again for meeting with AZ CRNAs and being such a considerate representative and a strong advoca‰Û_,0.8271
Republican,RepKayGranger,My statement on the National Defense Authorization Act https://t.co/ZMqFxAzWxA #NDAA,0.128
Republican,CongMikeSimpson,"‰ÛÏDo I not destroy my enemies when I make them my friends?‰Ûù Today marks the 209 birthday of our 16th President, the‰Û_ https://t.co/7LgyDGJVnR",0.6681
Republican,RulesReps,HAPPENING NOW: @RepRobWoodall is managing the 2nd rule for the Make America Secure and Prosperous Act. Watch the @HouseFloor LIVE on @cspan.,0.6705
Republican,NatResources,_Ù_¬#BREAKING ‰ Õ House passes @CathyMcMorris' bill that will save taxpayers $16 million and protect fish by preventing‰Û_ https://t.co/Pgmk0mUcmx,0.7003
Democrat,RepOHalleran,RT @YestoNGS: .@RepOHalleran says @Interior must be central in the efforts to continue NGS‰Ûªs long-term operation https://t.co/6j8rHuHlyc,0
Democrat,RepRoKhanna,2/2 -- We must ensure that America remains a nation where people from all backgrounds are free to pursue their pote‰Û_ https://t.co/qO1CAdpxEk,0.7096
Democrat,RepRaskin,RT @DrJasonJohnson: @RepRaskin points out that the Judiciary hearing on @facebook supposedly censoring conservatives like @DiamondandSilk i‰Û_,0.3612
Democrat,RepTomSuozzi,"Chag Pesach kasher vesame‰Ûªach!To all who are celebrating Passover, may your holiday be joyous and blessed with goo‰Û_ https://t.co/9ALHOt12jm",0.9402
Democrat,RepJackyRosen,My new bill would create jobs at tech startups by providing tax credits to small businesses that hire workers in re‰Û_ https://t.co/rjFOZ7gGRO,0.5574
Democrat,RepMarkTakai,"Mahalo @POTUS, @FLOTUS, @HiArtsAlliance, @HIDOE808 for today's @TurnaroundArts talent show. My full statement here‰ Õhttps://t.co/sO445KEBld",0.4215
Democrat,RepCharlieCrist,WATCH: Calling on Congress to pass clean #DREAMActNow to #ProtectDREAMers! https://t.co/NVD0HXzAUw,0.4574
Democrat,RepJimmyPanetta,"The second place winning entry, ‰ÛÏJoy‰Ûù was submitted by Catherine Nordstrom, also a senior at San Benito High School‰Û_ https://t.co/VDZVnl5FYL",0.5267
Republican,RepSteveStivers,My statement on the passage of the Tax Cuts and Jobs Act: https://t.co/yXbNsHR31j https://t.co/GhAmDedzBx,-0.296
Republican,FinancialCmte,Chairman @RepHensarling applauds inclusion of important pro-growth reform measures in omnibus. Full statement:‰Û_ https://t.co/WZSeaCLHC6,0.4939
