Id,Party,Handle,Tweet,Sentiment,Category,Length
71,Democrat,RepCharlieCrist,"#OTD 50 years ago, we lost civil rights champion Dr. Martin Luther King, Jr.  due to gun violence and bigotry. Let’… https://t.co/V1VNA8IGcK",-0.5994,GunControl,140
72,Democrat,RepCharlieCrist,Leaders on both sides of the aisle must show the political courage necessary to improve our nation’s gun laws to ke… https://t.co/t6CzQLrNuW,0.5719,GunControl,140
73,Democrat,RepCharlieCrist,No words to describe the shock and sadness of another tragic shooting in my home state. Praying for the safety of s… https://t.co/eT4n1JU644,-0.6597,GunControl,140
74,Democrat,RepJayapal,"RT @alangomez: As @realDonaldTrump admin tries to increase incarceration of undocumented immigrants, Democrats @KamalaHarris + @RepJayapal…",0.3182,Immigration,139
75,Democrat,RepJayapal,RT @Shugruberg: Love that South Asian women are leading the fight against mass incarceration and abuse in immigration detention! Thank you…,-0.4389,Immigration,139
76,Democrat,RepJayapal,RT @MigrantFreedom: A key step toward ending immigration detention is to stop it from expanding. This proposed measure would do just that.…,-0.5719,Immigration,139
77,Democrat,RepJayapal,"RT @carolinefan: .@RepJayapal does a thorough job of educating a caller who questioned the Congresswoman's citizenship #AAPI
https://t.co/s…",-0.1027,Immigration,140
78,Democrat,RepJayapal,"RT @TUSK81: “My mother had the choice to send me across the oceans for a better future, but many mothers have no good choices. Leaving thei…",0.4588,Abortion,140
79,Democrat,RepJayapal,RT @wrcommission: Immigrant mothers simply seek a better life for their children. We must stop inhumane family separation NOW. #MothersDay…,0.1779,Immigration,139
80,Democrat,RepJayapal,"RT @RepKClark: Today of all days, read this story to see – and feel – why we must stop ripping apart immigrant mothers and their children *…",-0.296,Immigration,140
81,Democrat,RepJayapal,"RT @YWCAUSA: ""Parents seeking protection for their family should never have to fear that the price for lawfully seeking asylum is to be tor…",0.3875,Immigration,140
82,Democrat,RepJayapal,RT @kiwa4justice: Happy #MothersDay! Today we’re sending extra love to immigrant mothers—from those separated from their families to pregna…,0.8478,Immigration,140
83,Democrat,RepJayapal,"RT @RepKarenBass: This #MothersDay, I stand with immigrant mothers simply seeking a better life for their children. We must stop inhumane f…",0.1779,Immigration,140
84,Democrat,RepJayapal,"This month, the Trump administration began a terrible blanket policy of separating undocumented kids and parents at… https://t.co/024OCGdyzL",-0.4767,Immigration,140
85,Democrat,RepJayapal,First Indian-American congresswoman shares response to caller questioning her citizenship https://t.co/8ZVAld4eYG,0.2023,Immigration,113
86,Democrat,RepJayapal,RT @cspanwj: Rep. Pramila Jayapal (D-WA) joins us to discuss immigration &amp; for an update on Special Counsel Robert Mueller's investigation…,0.4019,Immigration,143
87,Democrat,RepJayapal,RT @CWS_global: Thank you @RepJayapal @RepGraceMeng for joining our call today and speaking about your powerful commitment to immigrant mom…,0.7845,Immigration,140
88,Democrat,RepJayapal,"RT @DaviSusan: There is an extraordinary thing happening to the nation's legal immigrant communities under the Trump administration: 50,000…",0.128,Immigration,140
89,Democrat,RepJayapal,RT if you think prioritizing gun industry profits over public safety - our safety - is just about the farthest thin… https://t.co/nU5hmnA8t6,0.7269,GunControl,140
90,Democrat,RepJayapal,RT @RepBarbaraLee: Many families seeking asylum are fleeing unimaginable violence &amp; terror. Tearing these children from their parents isn’t…,-0.8176,Immigration,144
91,Democrat,RepJayapal,"Happy #MayDay, also known as International Workers Day, a day when we stand up for immigrant and worker rights!

Re… https://t.co/vC9AjIM1Od",0.6114,Immigration,140
92,Democrat,CongressmanRaja,Today is the National Day for Choice for individuals with intellectual and developmental disabilities. We must reco… https://t.co/yMrJjhZHU0,0.5106,Abortion,140
93,Democrat,CongressmanRaja,"RT @RepAnthonyBrown: States &amp; private companies are leading the way on gun reform while Republicans either stonewall or retire. 

Members l…",-0.34,GunControl,144
94,Democrat,CongressmanRaja,Always glad to work with my colleagues in the House on real gun reform solutions. I'm grateful to have the chance t… https://t.co/PoOItqqGn5,0.743,GunControl,140
95,Democrat,CongressmanRaja,RT @RepRoKhanna: We can't let up the pressure on sensible gun violence until we get real change. Let's pass @RepCicilline's assault weapon…,-0.91,GunControl,139
96,Democrat,CongressmanRaja,Please keep everyone affected by the shooting in San Bruno in your thoughts and prayers as we gather the facts and… https://t.co/ox41IBOO2m,0.1779,GunControl,139
97,Democrat,CongressmanRaja,"Pardons must not become a ""Get Out of Jail Free"" card for President Trump's friends, family, and advisors. https://t.co/YzjzmXjcqn",0.8225,Incarceration,130
98,Democrat,CongressmanRaja,I'm inspired by all those taking to the streets today and I'll keep fighting for  real gun reform in Congress with… https://t.co/PPGbhTzSNC,-0.1779,GunControl,139
99,Democrat,CongressmanRaja,RT @iftyahmadMD: My close friend @MuslimMarine and I had a chance to spend some time with @CongressmanRaja today discussing immigration and…,0.6369,Immigration,140
100,Democrat,RepRaskin,RT @RepDonBeyer: 19 years ago a shooting at Columbine High School took 13 lives. It was a horror with many sequels as our gun laws got weak…,-0.7269,GunControl,140
101,Democrat,RepRaskin,Adding a citizenship question to the #2020Census turns the constitutional mechanism of a popular count into a parti… https://t.co/elSBB0U7Zo,0.4215,Immigration,140
102,Democrat,RepValDemings,"Since its opening, the newest @Smithsonian museum has welcomed 3.5M visitors. It has used timed passes to control c… https://t.co/JKgp3zxVhd",0.34,GunControl,140
103,Democrat,RepValDemings,"RT @TheOrlandoTimes: Continuing the conversation; Gun Violence Town Hall on May 2nd. Get more info below!
#GUNviolence https://t.co/iNzSlQR…",-0.7777,GunControl,140
104,Democrat,RepValDemings,"Without the actions of James Shaw Jr., this deadly shooting could have been far worse. He may not think that he's a… https://t.co/Hr7wvpSWcS",-0.4767,GunControl,140
105,Democrat,RepValDemings,"I'm proud of the students and educators who are continuing to make gun safety a national priority. Today, on the an… https://t.co/bE0bYen2RS",0.5423,GunControl,140
106,Democrat,RepJimmyPanetta,An accurate #2020census is critical to our nation. Adding a citizenship question jeopardizes the disbursement of fu… https://t.co/dFqf0kCSMi,-0.3182,Immigration,140
107,Democrat,RepJimmyPanetta,"Powerful feature in this week's @mcweekly on gun violence &amp; school safety, with articles by student journalists fro… https://t.co/SDLLTLWym2",-0.2263,GunControl,144
108,Democrat,RepJimmyPanetta,"19 years after the horrific shooting at Columbine, we remember the victims &amp; survivors. The devastation of this sen… https://t.co/pGUHfLR81p",-0.8591,GunControl,144
109,Democrat,RepJimmyPanetta,"Had a conversation about gun violence, mental health, school safety, and immigration reform with students, teachers… https://t.co/bzwNT11ef4",-0.5719,Immigration,140
110,Democrat,RepJimmyPanetta,"I held a roundtable discussion w/students, school officials &amp; local law enforcement about gun violence &amp; school saf… https://t.co/xc3ljY4Moe",-0.7579,GunControl,148
111,Democrat,RepJimmyPanetta,"Today, high school students across the country took a stand to demand action on gun violence. It is time for Congre… https://t.co/mKARhKjSEC",-0.7906,GunControl,140
112,Democrat,RepJimmyPanetta,"RT @Teaganne_Finn: NOW: ""My role on the Ag committee as a Rep. is not to limit peoples options but to fight for their choice for fresh food…",-0.1154,Abortion,140
113,Democrat,RepStephMurphy,Thank you to @RepCicilline for joining me at @rollinscollege in #WinterPark today to discuss gun violence preventio… https://t.co/L5GIRAs2uo,-0.6124,GunControl,140
114,Democrat,RepStephMurphy,A student was injured in a shooting at Forest High School in #Ocala today. It’s 19 years to the day since Columbine… https://t.co/2gJdbJLUNj,-0.4019,GunControl,140
115,Democrat,RepStephMurphy,I spoke to @UCF student gun safety advocates at a recent Coffee with Your Congresswoman event. I'm heartened to see… https://t.co/qersjyebrZ,0.1027,GunControl,140
116,Democrat,RepStephMurphy,"ICYMI: ""Stephanie Murphy praises decision to allow gun violence research"" via @SteveLemongello @orlandosentinel… https://t.co/RiG5jb1oeT",-0.296,GunControl,136
117,Democrat,RepStephMurphy,RT @TheEthanFields: Ran into @RepStephMurphy in Orlando today! We need more representatives who prioritize ending gun violence in Washingto…,-0.7777,GunControl,140
118,Democrat,RepStephMurphy,"Today, millions of Americans across the country are lending their voices to say ENOUGH. Enough to the gun violence… https://t.co/eurABsLrX3",-0.34,GunControl,139
119,Democrat,RepStephMurphy,RT @RepCurbelo: .@RepCurbelo is a proud co-sponsor of @RepStephMurphy's legislation to allow the @CDCgov to conduct research on gun violenc…,0.3818,GunControl,140
120,Democrat,RepStephMurphy,RT @Fla_Pol: Stephanie Murphy gets gun violence research language into budget bill https://t.co/ewEZbpKto3 via @ScottFist #FlaPol https://t…,-0.7579,GunControl,140
121,Democrat,RepStephMurphy,Major Breakthrough: It appears #Omnibus will make it clear CDC can research gun violence - something I'm proud to h… https://t.co/3zBehS267k,-0.2023,GunControl,140
122,Democrat,RepStephMurphy,THIS JUST IN ➡️ House Republicans today voted down a motion that would have forced a vote on various gun violence p… https://t.co/MXVVEmxaLF,-0.8591,GunControl,140
123,Democrat,RepStephMurphy,"My thoughts are w/the students, faculty &amp; families affected by the shooting at Great Mills High. My gratitude is wi… https://t.co/vBRIQNJOZd",0.7783,GunControl,144
124,Democrat,DonaldNorcross,"#EnoughIsEnough! 

Congress can do more to help prevent gun violence.

I support banning assault rifles, stopping s… https://t.co/6C7mJQSSoE",-0.7311,GunControl,140
125,Democrat,DonaldNorcross,"The President continues to focus disproportionately on the criminal aspects of the multi-faceted problem. 

But I t… https://t.co/HeyMUNpjxS",-0.7269,Incarceration,140
126,Democrat,DonaldNorcross,Today students &amp; teachers across South Jersey &amp; the country are taking a stand to demand action on gun violence. I… https://t.co/4HjfYAydrr,-0.7906,GunControl,147
127,Democrat,DonaldNorcross,President Trump shamelessly made the choice to end DACA 6 months ago &amp; DREAMers are still being forced to live w/fe… https://t.co/lZz1I5Wa1j,-0.6597,Abortion,144
128,Democrat,DonaldNorcross,"A moment of silence for Parkland is not enough!

Let’s listen to these brave students &amp; pass gun safety legislation… https://t.co/8s6P9J2OT7",0.6239,GunControl,144
129,Democrat,DonaldNorcross,"“After Britain had a mass shooting in 1987, they instituted strict gun control laws. So did Australia... But the US… https://t.co/P7r5Q00dlN",-0.34,GunControl,140
130,Democrat,DonaldNorcross,"@leslievermeulen You're right that there are no excuses. I am here in DC ready to fight for gun safety every day, f… https://t.co/sbIL7gsGvp",-0.2263,GunControl,140
131,Democrat,DonaldNorcross,"@leslievermeulen Leslie - I am sick of it too! I want us to take actions to help reduce gun violence, but President… https://t.co/Ud8TrL9aEQ",-0.5707,GunControl,140
132,Democrat,RepTedLieu,Separating children from parents as a deterrent to seeking asylum is inhumane and cruel. Seeking asylum is not ille… https://t.co/1IY3t31A20,-0.5859,Immigration,140
133,Democrat,RepTedLieu,Visited @VistamarSchool today to have a thoughtful discussion on how to address gun violence and stop school shooti… https://t.co/oakNzYSwq7,-0.7269,GunControl,140
134,Democrat,RepTedLieu,"The #Trump Administration's decision to add a citizenship question to the #2020Census is a dangerous, alarming &amp; de… https://t.co/HOiY614E7G",-0.5574,Immigration,144
135,Democrat,RepTedLieu,Proud to stand with America’s students. Your voice is making a difference in the fight for action to prevent gun vi… https://t.co/GRiaB7thVG,-0.2023,GunControl,140
136,Democrat,RepTedLieu,"RT @HouseDemocrats: 7,000 children have lost their lives to gun violence since Sandy Hook. How many more must we lose before Congress takes…",-0.8948,GunControl,140
137,Democrat,RepPeteAguilar,Fake news. Your own ICE spokesperson resigned today because he couldn't lie about immigration policies for you anym… https://t.co/U4aq8FR0xl,-0.6249,Immigration,140
138,Democrat,RepPeteAguilar,"Earlier today, I voted to bring up a commonsense gun safety bill to expand background checks. @HouseGOP voted unani… https://t.co/CYak0MCxBP",0.4019,GunControl,140
139,Democrat,RepPeteAguilar,It shouldn't take a national tragedy to get @HouseGOP to allow us to vote on commonsense measures to prevent gun vi… https://t.co/KSgRCh3wuJ,0.4795,GunControl,140
140,Democrat,RepPeteAguilar,"RT @FaceTheNation: This morning, @HurdOnTheHill and @RepPeteAguilar join the program to weigh in on the immigration debate in Washington, a…",0.296,Immigration,140
141,Democrat,RepPeteAguilar,"The House is currently debating #HR38, a dangerous bill that undermines commonsense gun laws in states like Califor… https://t.co/TPMJkMNDzJ",-0.6597,GunControl,140
142,Democrat,RepPeteAguilar,".@realDonaldTrump’s attacks on #DREAMers cut to the core of communities, and his extremist immigration ""principles"" will only make it worse.",-0.7964,Immigration,140
143,Democrat,RepPeteAguilar,This shameful decision by @POTUS  will make birth control unaffordable for thousands of women. #ContraceptionIsCare https://t.co/U8ga82T1IQ,-0.4939,GunControl,139
144,Democrat,RepPeteAguilar,We need action to reduce gun violence. Proud to cosponsor @DavidCicilline’s bill to ban the sale of dangerous bump… https://t.co/xwN0GuzIyQ,-0.8779,GunControl,139
145,Democrat,RepPeteAguilar,"Proud to join my colleagues today and call for action to reduce gun violence. We cannot afford more empty promises,… https://t.co/WpPHGPJLc9",-0.1005,GunControl,140
146,Democrat,RepMarkTakai,"To honor that history, we must adopt immigration policies that are both compassionate and sensible. #FreedomOfReligionAct",0.7964,Immigration,121
147,Democrat,RepKathleenRice,RT @MEPFuller: The first gun bill the House passed after Las Vegas was a bill making states recognize concealed carry permits in other stat…,-0.34,GunControl,140
148,Democrat,RepKathleenRice,"At least 26 people, including kids, felt that way in the moments before they became the victims of another mass shooting in America.",-0.3182,GunControl,132
149,Democrat,RepKathleenRice,It's been 17 days since the worst mass shooting in US history - &amp; Congress still hasn't taken action to help #EndGunViolence.,-0.34,GunControl,129
150,Democrat,RepKathleenRice,House Gun Violence Prevention TF Chair &amp; Vice Chairs urge ATF to designate bump stocks as prohibited accessories… https://t.co/hGVEjXz3ZB,-0.7579,GunControl,141
151,Democrat,RepKathleenRice,Joined Dem colleagues &amp; @GabbyGiffords this morning to honor victims of the Las Vegas shooting &amp; demand action to… https://t.co/FJRBQoWAH0,0.1027,GunControl,146
152,Democrat,RepKathleenRice,"We can't save every life lost to gun violence in America, but we know we can save some. The question is whether we care enough to try.",-0.5935,GunControl,134
153,Democrat,RepDebDingell,"RT @NCADV: It's Time to Close the ""Boyfriend Loophole"" to Help Stop Gun Violence, by @RepDebDingell, is what you should be reading in @Teen…",-0.7184,GunControl,140
154,Democrat,RepDebDingell,"Students are demanding action to prevent gun violence- an issue they face at school, on the street &amp; in their relat… https://t.co/Xj7NdcZdnd",-0.8074,GunControl,144
155,Democrat,RepDebDingell,Learning of shooting at Central Michigan University. Everyone take shelter and stay safe. Monitoring this situation… https://t.co/dfQNB6xK6s,0.4404,GunControl,140
156,Democrat,RepDebDingell,"As someone who had to hide in a closet when my father was out of control &amp; had a gun, I want to do something that's… https://t.co/TsTQ3HtTsj",-0.4215,GunControl,144
157,Democrat,RepDebDingell,Honored to be named co-chair of a new bipartisan working group on response to the Parkland shooting w my friend… https://t.co/aHSJQbHEMK,0.5859,GunControl,136
158,Democrat,RepDebDingell,"Joining @AlexWitt on @MSNBC shortly to discuss the gun violence epidemic in this country and why Congress must act,… https://t.co/8Oq3BLQ9dk",-0.7579,GunControl,140
159,Democrat,RepDebDingell,Joining my friend @SHDetroit on @wdet this morning to discuss the gun violence epidemic &amp; next steps to keep our ch… https://t.co/mQAtsNRPX7,-0.5106,GunControl,144
160,Democrat,RepDebDingell,Thanks to SAFE Coalition for bringing the community together to discuss ways to improve gun safety &amp; keep our kids… https://t.co/rbu1MXjVKa,0.87,GunControl,143
161,Democrat,RepDebDingell,"The immigration debate is not a war of words between two parties, it is about real people’s lives. Thanks to… https://t.co/6HJqVwBAWo",0.8292,Immigration,133
162,Democrat,RepDebDingell,"Joining my E&amp;C colleagues in calling for a hearing on gun violence prevention research. ""Gun violence must be addre… https://t.co/yGEvtMcrBM",-0.9186,GunControl,144
163,Democrat,RepDebDingell,Tonight's #SOTU address failed to recognize that immigration is not a war of words. It is about real people’s lives… https://t.co/aoSqpXKy65,-0.0397,Immigration,140
